timestamp,day,item_name,item_type,item_cost,player_money_after
2026-04-16 13:58:16,12,Whale Status,permanent,600,57714272
2026-04-16 13:58:26,13,Whale Status,permanent,600,57714912
2026-04-16 13:58:26,13,Card Counter,permanent,400,57714512
2026-04-16 13:58:39,14,Card Counter,permanent,400,57713992
2026-04-16 13:58:40,14,Whale Status,permanent,600,57713392
2026-04-16 13:58:52,15,Whale Status,permanent,600,131782698
2026-04-16 13:58:52,15,Card Counter,permanent,400,131782298
2026-04-16 14:00:31,16,Card Counter,permanent,400,131783108
2026-04-16 14:00:31,16,Whale Status,permanent,600,131782508
2026-04-16 14:00:45,17,Lucky Charm,consumable,150,131783558
2026-04-16 14:00:45,17,Whale Status,permanent,600,131782958
2026-04-16 14:00:45,17,Card Counter,permanent,400,131782558
2026-04-16 14:00:54,18,Card Counter,permanent,400,131783348
2026-04-16 14:00:54,18,Whale Status,permanent,600,131782748
2026-04-16 18:58:00,2,Hot Streak,consumable,180,220
2026-04-16 18:58:00,2,Loaded Dice,consumable,200,20
